Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,22,49,UNIVERSITY,191,6,0
2,33,11,22,ROOSEVELT/RAVENNA,2008,5,0
2,46,14,31,DOWNTOWN COMMERCIAL,1335,6,0
2,33,22,49,UNIVERSITY,1522,5,0
2,46,6,5,CAPITOL HILL,1478,5,0
2,53,18,40,QUEEN ANNE,7,6,0
2,53,10,17,FIRST HILL,1522,5,0
2,53,5,2,BALLARD SOUTH,34,6,0
2,33,11,22,ROOSEVELT/RAVENNA,661,5,0
2,53,5,3,BALLARD SOUTH,1902,5,0
2,53,22,49,UNIVERSITY,632,6,0
2,46,14,30,DOWNTOWN COMMERCIAL,893,6,0
2,53,18,40,QUEEN ANNE,0,6,0
2,12,6,5,CAPITOL HILL,631,6,0
2,53,22,49,UNIVERSITY,1616,5,0
2,53,10,17,FIRST HILL,1902,4,0
2,53,14,31,DOWNTOWN COMMERCIAL,1031,5,0
2,12,14,31,DOWNTOWN COMMERCIAL,1031,5,0
3,15,7,9,QUEEN ANNE,316,6,0
3,13,7,9,QUEEN ANNE,317,6,0
3,15,8,13,CAPITOL HILL,693,6,0
2,51,8,12,CAPITOL HILL,95,5,0
2,12,14,31,DOWNTOWN COMMERCIAL,708,6,0
2,1,14,31,DOWNTOWN COMMERCIAL,708,6,0
2,53,22,49,UNIVERSITY,823,4,0
2,10,22,48,UNIVERSITY,2016,3,0
2,33,11,22,ROOSEVELT/RAVENNA,1753,5,0
2,44,12,24,DOWNTOWN COMMERCIAL,1955,5,0
2,1,12,24,DOWNTOWN COMMERCIAL,487,6,0
2,53,18,41,QUEEN ANNE,1699,5,0
2,53,22,49,UNIVERSITY,1669,5,0
3,13,8,12,CAPITOL HILL,1978,5,0
2,1,12,24,DOWNTOWN COMMERCIAL,1381,4,0
2,53,7,9,SLU/CASCADE,2037,5,0
2,53,18,41,QUEEN ANNE,1606,5,0
3,13,7,9,SLU/CASCADE,1569,5,0
3,13,7,9,SLU/CASCADE,88,5,0
2,53,22,49,UNIVERSITY,1428,5,0
2,51,22,49,UNIVERSITY,1699,5,0
2,12,18,41,QUEEN ANNE,984,5,0
2,44,15,34,NORTHGATE,1486,5,0
2,46,8,12,CAPITOL HILL,1324,5,0
2,53,14,31,DOWNTOWN COMMERCIAL,0,5,0
1,43,22,48,UNIVERSITY,508,5,0
2,33,13,27,NORTHGATE,508,4,0
2,46,5,3,BALLARD SOUTH,1053,5,0
2,51,8,12,CAPITOL HILL,1244,1,0
2,53,10,17,FIRST HILL,455,5,0
2,53,14,29,DOWNTOWN COMMERCIAL,1113,5,0
2,12,22,48,ROOSEVELT/RAVENNA,129,4,0
2,53,8,11,CAPITOL HILL,841,5,0
2,53,15,34,NORTHGATE,143,5,0
